CodigoMateria,Identificacao,Ementa,Data,IndicadorAutorPrincipal,CodigoParlamentar,interesse,justificativa_interesse
160747,PL 5289/2023,"Altera a Lei nº 9.532, de 10 de dezembro de 1997, para estender o prazo de vigência dos incentivos fiscais a que se referem o Decreto-Lei nº 288, de 28 de fevereiro de 1967, com as posteriores alterações, o Decreto-Lei nº 356, de 15 de agosto de 1968, o Decreto-Lei nº 1.435, de 16 de dezembro de 1975 e a Lei nº 8.387, de 30 de dezembro de 1991.",2023-10-31,Sim,5672,7,Autor principal da matéria há menos de 1 ano
160728,PEC 55/2023,"Altera a Constituição Federal, para estabelecer programação orçamentária mínima para o Ministério da Defesa e dispor sobre projetos estratégicos para a Defesa Nacional, e acrescenta artigo ao Ato das Disposições Constitucionais Transitórias, para estabelecer regra de transição.",2023-10-30,Não,5672,0,Co-autor de PEC
160960,PEC 59/2023,"Acrescenta o inciso XIX ao art. 49; modifica o §4º e acrescenta o §8º, ambos no Art. 231, da Constituição Federal.",2023-11-08,Não,5672,0,Co-autor de PEC
160976,PEC 60/2023,"Altera o inciso XLII do art. 5º da Constituição Federal, para prever a inafiançabilidade e a imprescritibilidade dos crimes que envolvam pedofilia.",2023-11-09,Não,5672,0,Co-autor de PEC
160956,PEC 58/2023,"Altera os incisos XVIII e XIX do art. 7° da Constituição Federal, para ampliar a duração da licença-maternidade, licença paternidade e adotante.",2023-11-08,Não,5672,0,Co-autor de PEC
160684,PEC 54/2023,Acrescenta o inciso LXXX ao art. 5º da Constituição Federal para tornar imprescritível o crime de tráfico de crianças e adolescentes.,2023-10-25,Não,5672,0,Co-autor de PEC
160275,PRS 93/2023,"Institui a Frente Parlamentar Mista da Inteligência Artificial, Tecnologia da Informação, Segurança Cibernética e Combate à Desinformação (Frente Parlamentar da Segurança Digital).",2023-10-02,Não,5672,5,Co-autor da matéria há menos de 1 ano
160674,PLP 225/2023,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para dispor sobre a concessão de empréstimos com recursos públicos a países estrangeiros.",2023-10-25,Não,5672,5,Co-autor da matéria há menos de 1 ano
160374,PEC 51/2023,Atribui mandato de quinze anos e exigência de idade mínima de cinquenta anos aos Ministros do Supremo Tribunal Federal e promove modificações no processo de escolha dos membros dessa Corte e dos Tribunais Superiores.,2023-10-04,Não,5672,0,Co-autor de PEC
160593,PEC 53/2023,Altera o art. 159 da Constituição Federal para instituir compensação financeira em prol do Fundo de Participação dos Municípios no intuito de assegurar a esse Fundo participação percentual no produto interno bruto igual à observada no exercício de 2022.,2023-10-19,Não,5672,0,Co-autor de PEC
160000,PL 4507/2023,Dispõe sobre a prorrogação do pagamento de financiamentos relacionados a operações de crédito rural em caso de prejuízo por queda nos preços dos produtos vinculados a atividade rural financiada.,2023-09-15,Sim,5672,7,Autor principal da matéria há menos de 1 ano
159878,PL 4388/2023,"Altera a Lei nº 12.462, de 4 de agosto de 2011, para permitir a utilização de recursos do Fundo Nacional de Aviação Civil (FNAC) para subsidiar a aquisição do querosene de aviação comercializado em aeroportos localizados na Região Norte.",2023-09-12,Sim,5672,7,Autor principal da matéria há menos de 1 ano
160011,PEC 45/2023,"Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",2023-09-15,Não,5672,0,Co-autor de PEC
160083,PEC 46/2023,"Altera o inciso IV do art. 8º da Constituição Federal, para vedar, salvo prévia aquiescência individual dos membros das categorias profissionais e econômicas, a cobrança de contribuições de trabalhadores ou empregadores não filiados ao respectivo sindicato.",2023-09-19,Não,5672,0,Co-autor de PEC
159879,PL 4392/2023,"Altera a Lei nº 7.565, de 19 de dezembro de 1986, que dispõe sobre o Código Brasileiro de Aeronáutica, para permitir a cabotagem aérea a empresas sul-americanas na Amazônia Legal.",2023-09-12,Sim,5672,7,Autor principal da matéria há menos de 1 ano
160194,PDL 343/2023,Dispõe sobre a realização de plebiscito para decidir sobre a legalização do aborto.,2023-09-26,Não,5672,5,Co-autor da matéria há menos de 1 ano
159924,PEC 40/2023,Acrescenta o art. 124 ao Ato das Disposições Constitucionais Transitórias para aumentar temporariamente a parcela do produto da arrecadação dos impostos sobre renda e proventos de qualquer natureza e sobre produtos industrializados devida ao Fundo de Participação dos Municípios.,2023-09-12,Não,5672,0,Co-autor de PEC
159325,PEC 39/2023,"Altera a Constituição Federal, para disciplinar a tramitação de projetos de resolução referentes ao regimento interno das Casas Legislativas.",2023-08-22,Não,5672,0,Co-autor de PEC
159521,PL 4174/2023,"Concede o título de Capital Nacional da Farinha de Mandioca ao Município de Cruzeiro do Sul, no Estado do Acre.",2023-08-29,Sim,5672,7,Autor principal da matéria há menos de 1 ano
159095,PEC 37/2023,"Acrescenta o § 12 ao art. 14, da Constituição Federal, dispondo que, na votação e apuração de eleições seja obrigatória a expedição de cédulas físicas, conferíveis pelo eleitor, a serem depositadas em urnas, para fins de auditoria.",2023-08-10,Não,5672,0,Co-autor de PEC
158826,PDL 193/2023,"Susta os efeitos do Decreto nº 11.615, de 21 de julho de 2023, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para estabelecer regras e procedimentos relativos à aquisição, ao registro, à posse, ao porte, ao cadastro e à comercialização nacional de armas de fogo, munições e acessórios, disciplinar as atividades de caça excepcional, de caça de subsistência, de tiro desportivo e de colecionamento de armas de fogo, munições e acessórios, disciplinar o funcionamento das entidades de tiro desportivo e dispor sobre a estruturação do Sistema Nacional de Armas - Sinarm.",2023-07-25,Não,5672,5,Co-autor da matéria há menos de 1 ano
