CodigoParlamentar,NomeParlamentar,SiglaPartidoParlamentar,UfParlamentar
5672,Alan Rick,UNIÃO,AC
5982,Alessandro Vieira,MDB,SE
6358,Ana Paula Lobato,PSB,MA
5967,Angelo Coronel,PSD,BA
6009,Astronauta Marcos Pontes,PL,SP
6350,Augusta Brito,PT,CE
4639,Beto Faro,PT,PA
5936,Carlos Portinho,PL,RJ
5990,Carlos Viana,PODEMOS,MG
470,Chico Rodrigues,PSB,RR
5973,Cid Gomes,PDT,CE
739,Ciro Nogueira,PP,PI
6337,Cleitinho,REPUBLICANOS,MG
475,Confúcio Moura,MDB,RO
6335,Damares Alves,REPUBLICANOS,DF
5998,Daniella Ribeiro,PSD,PB
3830,Davi Alcolumbre,UNIÃO,AP
5793,Dr. Hiran,PP,RR
4994,Eduardo Braga,MDB,AM
5976,Eduardo Girão,NOVO,CE
3777,Eduardo Gomes,PL,TO
4642,Efraim Filho,UNIÃO,PB
5718,Eliziane Gama,PSD,MA
22,Esperidião Amin,PP,SC
5953,Fabiano Contarato,PT,ES
5917,Fernando Dueire,MDB,PE
6345,Fernando Farias,MDB,AL
345,Flávio Arns,PSB,PR
5894,Flávio Bolsonaro,PL,RJ
6008,Giordano,MDB,SP
6341,Hamilton Mourão,REPUBLICANOS,RS
5008,Humberto Costa,PT,PE
5385,Irajá,PSD,TO
6010,Ivete da Silveira,MDB,SC
4770,Izalci Lucas,PSDB,DF
35,Jader Barbalho,MDB,PA
6340,Jaime Bagattoli,PL,RO
581,Jaques Wagner,PT,BA
4531,Jayme Campos,UNIÃO,MT
5895,Jorge Kajuru,PSB,GO
6342,Jorge Seif,PL,SC
6369,Jussara Lima,PSD,PI
4811,Laércio Oliveira,PP,SE
5979,Leila Barros,PDT,DF
5926,Lucas Barreto,PSD,AP
1186,Luis Carlos Heinze,PP,RS
631,Magno Malta,PL,ES
5376,Mara Gabrilli,PSD,SP
742,Marcelo Castro,MDB,PI
285,Marcio Bittar,UNIÃO,AC
5422,Marcos Rogério,PL,RO
5942,Marcos do Val,PODEMOS,ES
6304,Margareth Buzetti,PSD,MT
6027,Mecias de Jesus,REPUBLICANOS,RR
5985,Nelsinho Trad,PSD,MS
5525,Omar Aziz,PSD,AM
5924,Oriovisto Guimarães,PODEMOS,PR
5523,Otto Alencar,PSD,BA
825,Paulo Paim,PT,RS
5502,Plínio Valério,PSDB,AM
5386,Professora Dorinha Seabra,UNIÃO,TO
5012,Randolfe Rodrigues,REDE,AP
70,Renan Calheiros,MDB,AL
5905,Rodrigo Cunha,PODEMOS,AL
5732,Rodrigo Pacheco,PSD,MG
4694,Rogerio Marinho,PL,RN
5352,Rogério Carvalho,PT,SE
5322,Romário,PL,RJ
6331,Sergio Moro,UNIÃO,PR
5988,Soraya Thronicke,PODEMOS,MS
5959,Styvenson Valentim,PODEMOS,RN
4560,Sérgio Petecão,PSD,AC
6338,Teresa Leitão,PT,PE
5736,Tereza Cristina,PP,MS
5899,Vanderlan Cardoso,PSD,GO
5748,Veneziano Vital do Rêgo,MDB,PB
1173,Wellington Fagundes,PL,MT
5411,Weverton,PDT,MA
5070,Wilder Morais,PL,GO
5783,Zenaide Maia,PSD,RN
3806,Zequinha Marinho,PODEMOS,PA
