,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
0,22.0,807,5,Autor principal da matéria há mais de 3 ano
1,22.0,828,5,Autor principal da matéria há mais de 3 ano
2,22.0,1246,5,Autor principal da matéria há mais de 3 ano
3,22.0,1651,5,Autor principal da matéria há mais de 3 ano
4,22.0,1671,5,Autor principal da matéria há mais de 3 ano
5,22.0,17338,5,Autor principal da matéria há mais de 3 ano
6,22.0,17955,5,Autor principal da matéria há mais de 3 ano
7,22.0,18353,5,Autor principal da matéria há mais de 3 ano
8,22.0,18385,5,Autor principal da matéria há mais de 3 ano
9,22.0,24816,5,Autor principal da matéria há mais de 3 ano
10,22.0,25823,5,Autor principal da matéria há mais de 3 ano
11,22.0,26169,5,Autor principal da matéria há mais de 3 ano
12,22.0,26202,5,Autor principal da matéria há mais de 3 ano
13,22.0,27355,5,Autor principal da matéria há mais de 3 ano
14,22.0,27797,5,Autor principal da matéria há mais de 3 ano
15,22.0,28020,5,Autor principal da matéria há mais de 3 ano
16,22.0,28263,5,Autor principal da matéria há mais de 3 ano
17,22.0,28285,5,Autor principal da matéria há mais de 3 ano
18,22.0,28354,5,Autor principal da matéria há mais de 3 ano
19,22.0,28488,5,Autor principal da matéria há mais de 3 ano
20,22.0,28489,5,Autor principal da matéria há mais de 3 ano
21,22.0,30086,9,Autor principal da matéria há mais de 3 ano - Discursou sobre a matéria (Discurso) há menos de 3 anos
22,22.0,30280,5,Autor principal da matéria há mais de 3 ano
23,22.0,30439,5,Autor principal da matéria há mais de 3 ano
24,22.0,30856,5,Autor principal da matéria há mais de 3 ano
25,22.0,31964,5,Autor principal da matéria há mais de 3 ano
26,22.0,32401,5,Autor principal da matéria há mais de 3 ano
27,22.0,32435,5,Autor principal da matéria há mais de 3 ano
28,22.0,32477,5,Autor principal da matéria há mais de 3 ano
29,22.0,32623,5,Autor principal da matéria há mais de 3 ano
30,22.0,32838,5,Autor principal da matéria há mais de 3 ano
31,22.0,32980,5,Autor principal da matéria há mais de 3 ano
32,22.0,42400,5,Autor principal da matéria há mais de 3 ano
33,22.0,42571,5,Autor principal da matéria há mais de 3 ano
34,22.0,47830,5,Autor principal da matéria há mais de 3 ano
35,22.0,107967,12,Discursou sobre a matéria (Discussão) há menos de 3 anos - Discursou sobre a matéria (Pela ordem) há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos
36,22.0,109494,5,Autor de emenda há mais de 3 anos
37,22.0,111929,-1,Foi relator mas houve redistribuição da relatoria em CAE - Discursou sobre a matéria (Pela ordem) há menos de 3 anos
38,22.0,114302,1,Foi relator ad hoc em CRA
39,22.0,119532,0,Foi designado como relator mas a matéria foi prejudicada em CAE
40,22.0,119590,6,Autor de emenda há menos de 3 anos
41,22.0,120656,12,Relatou a matéria há mais de 3 anos em CAE - Discursou sobre a matéria (Discussão) há mais de 3 anos - Autor de emenda há mais de 3 anos
42,22.0,121646,0,Foi designado como relator mas a matéria foi prejudicada em CAE
43,22.0,121668,10,Relatou a matéria há mais de 3 anos em CCJ - Autor de emenda há mais de 3 anos
44,22.0,121731,0,Foi designado como relator mas a matéria foi prejudicada em CAE
45,22.0,122683,0,Foi designado como relator mas a matéria foi prejudicada em CCJ
46,22.0,122923,0,Foi designado como relator mas a matéria foi prejudicada em CAE
47,22.0,123050,0,Foi designado como relator mas a matéria foi prejudicada em CAE
48,22.0,123193,6,Relatou a matéria há menos de 3 anos em CI
49,22.0,123261,19,Relatou a matéria há menos de 3 anos em PLEN - Relatou a matéria há mais de 3 anos em CAE - Discursou sobre a matéria (Pela ordem) há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos
50,22.0,123964,0,Foi designado como relator mas a matéria foi prejudicada em CAE
51,22.0,124405,0,Foi designado como relator mas a matéria foi prejudicada em CCJ
52,22.0,124494,0,Foi designado como relator mas a matéria foi prejudicada em CCJ
53,22.0,124684,0,Foi designado como relator mas a matéria foi prejudicada em CAE
54,22.0,125989,0,Foi designado como relator mas a matéria foi prejudicada em CAE
55,22.0,126076,-5,Foi relator mas houve redistribuição da relatoria em CRE
56,22.0,128137,5,Relatou a matéria há mais de 3 anos em CAE
57,22.0,128728,4,Relator atual designado há menos de 1 ano em CCDD
58,22.0,129571,6,Relatou a matéria há menos de 3 anos em CAE
59,22.0,130159,0,Foi designado como relator mas a matéria foi prejudicada em CCJ
60,22.0,130521,4,Discursou sobre a matéria (Discussão) há menos de 3 anos
